Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
2549,Adrien Tameze,cm CMR,"DF,MF",Torino,it Serie A,29.0,1994.0,29,25,2146,23.8,0,2,2,0,0,0,6,1,0.7,0.7,2.2,2.9,22.0,90.0,39.0,0.0,0.08,0.08,0.0,0.08,0.03,0.09,0.12,0.03,0.12
2586,Adrien Thomasson,fr FRA,MF,Lens,fr Ligue 1,29.0,1993.0,29,13,1193,13.3,1,2,3,1,0,0,2,1,3.8,3.8,3.9,7.7,20.0,68.0,121.0,0.08,0.15,0.23,0.08,0.23,0.29,0.29,0.58,0.29,0.58
2641,Adrien Truffert,fr FRA,DF,Rennes,fr Ligue 1,21.0,2001.0,30,24,2145,23.8,1,2,3,1,0,0,6,0,1.7,1.7,1.8,3.5,51.0,98.0,181.0,0.04,0.08,0.13,0.04,0.13,0.07,0.08,0.15,0.07,0.15
84,Adrià Altimira,es ESP,"DF,MF",Villarreal,es La Liga,22.0,2001.0,11,10,775,8.6,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,10.0,29.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.02
2068,Adrià Pedrosa,es ESP,DF,Sevilla,es La Liga,25.0,1998.0,31,15,1753,19.5,1,4,5,1,0,0,1,0,0.7,0.7,3.2,3.9,46.0,61.0,109.0,0.05,0.21,0.26,0.05,0.26,0.04,0.16,0.2,0.04,0.2
30,Adryelson,br BRA,"DF,FW",Lyon,fr Ligue 1,25.0,1998.0,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Adson,br BRA,"MF,FW",Nantes,fr Ligue 1,22.0,2000.0,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.09,0.04,0.13,0.09,0.13
131,Adu Ares,es ESP,FW,Athletic Club,es La Liga,21.0,2001.0,12,2,265,2.9,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,13.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05
1629,Agustín Martegani,ar ARG,MF,Salernitana,it Serie A,23.0,2000.0,18,6,731,8.1,1,0,1,1,0,0,1,0,0.6,0.6,0.5,1.1,14.0,28.0,22.0,0.12,0.0,0.12,0.12,0.12,0.07,0.06,0.13,0.07,0.13
2618,Ahmed Touba,dz ALG,DF,Lecce,it Serie A,25.0,1998.0,6,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
2010,Aiham Ousou,sy SYR,DF,Cádiz,es La Liga,23.0,2000.0,6,5,430,4.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04
1835,Aihen Muñoz,es ESP,DF,Real Sociedad,es La Liga,25.0,1997.0,21,11,1127,12.5,0,2,2,0,0,0,2,0,0.3,0.3,2.0,2.2,24.0,39.0,23.0,0.0,0.16,0.16,0.0,0.16,0.02,0.16,0.18,0.02,0.18
